ticker,company_name,date,open,high,low,close,volume,dividends,extracted_at,daily_return_pct,ma_7,ma_21,ma_50,volatility_21,rsi_14,price_range,price_range_pct,volume_change_pct,cumulative_return_pct,above_ma50,rsi_zone,signal,transformed_at,country,exchange
BAC,Bank of America,2025-06-10,43.8449,44.2364,43.796,44.1287,32229100,0.0,2026-06-09 21:18:40,0.4903,,,,,,0.4404,0.998,-0.57,0.4903,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-11,44.2364,44.4419,43.6002,43.7764,47873500,0.0,2026-06-09 21:18:40,-0.7983,,,,,,0.8417,1.9227,48.54,-0.312,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-12,43.4534,43.6981,43.0815,43.6687,30165400,0.0,2026-06-09 21:18:40,-0.246,,,,,,0.6166,1.412,-36.99,-0.5572,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-13,43.062,43.5122,42.7292,43.15,43281700,0.0,2026-06-09 21:18:40,-1.1878,,,,,,0.783,1.8146,43.48,-1.7384,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-16,43.6883,43.933,43.4045,43.4632,34103600,0.0,2026-06-09 21:18:40,0.7258,,,,,,0.5285,1.216,-21.21,-1.0252,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-17,43.3262,43.7177,43.1207,43.2871,27489600,0.0,2026-06-09 21:18:40,-0.4052,43.6268,,,,,0.597,1.3792,-19.39,-1.4262,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-18,43.3164,44.2364,43.2675,44.0994,37684700,0.0,2026-06-09 21:18:40,1.8765,43.6534,,,,,0.9689,2.1971,37.09,0.4236,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-20,44.344,44.6768,44.3049,44.53,64591600,0.0,2026-06-09 21:18:40,0.9764,43.7107,,,,,0.3719,0.8352,71.4,1.4041,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-23,44.4321,45.3814,44.1483,45.3129,42683600,0.0,2026-06-09 21:18:40,1.7581,43.9302,,,,,1.2331,2.7213,-33.92,3.187,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-24,45.7533,46.184,45.5772,45.6653,45437600,0.0,2026-06-09 21:18:40,0.7777,44.2154,,,,,0.6068,1.3288,6.45,3.9894,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-25,45.587,45.9784,45.4695,45.8512,33532400,0.0,2026-06-09 21:18:40,0.4071,44.6013,,,,,0.5089,1.1099,-26.2,4.4128,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-26,45.9491,46.5656,45.9001,46.4482,40127000,0.0,2026-06-09 21:18:40,1.302,45.0277,,,,,0.6655,1.4328,19.67,5.7723,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-27,46.4384,46.6537,45.9099,46.1154,56705000,0.0,2026-06-09 21:18:40,-0.7165,45.4318,,,,,0.7438,1.6129,41.31,5.0144,,,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-06-30,46.6048,46.6048,46.0274,46.3112,47921200,0.0,2026-06-09 21:18:40,0.4246,45.7477,,,,72.31,0.5774,1.2468,-15.49,5.4603,,Overbought,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-01,46.0176,47.3877,45.9393,47.1235,48540900,0.0,2026-06-09 21:18:40,1.754,46.1182,,,,75.08,1.4484,3.0736,1.29,7.3101,,Overbought,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-02,47.329,47.6911,47.0354,47.6715,48003600,0.0,2026-06-09 21:18:40,1.1629,46.4552,,,,81.59,0.6557,1.3755,-1.11,8.558,,Overbought,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-03,47.9064,48.2588,47.7694,47.8869,21620300,0.0,2026-06-09 21:18:40,0.4518,46.7726,,,,83.62,0.4894,1.022,-54.96,9.0485,,Overbought,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-07,47.7009,48.1609,47.3388,47.6226,35567900,0.0,2026-06-09 21:18:40,-0.5519,47.0256,,,,87.15,0.8221,1.7263,64.51,8.4466,,Overbought,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-08,46.4873,46.7712,45.7631,46.1448,88086500,0.0,2026-06-09 21:18:40,-3.1031,46.9823,,,,68.66,1.0081,2.1846,147.66,5.0814,,Neutral-High,Insufficient Data,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-09,46.1546,46.4384,45.7142,45.8414,46227900,0.0,2026-06-09 21:18:40,-0.6575,46.9431,45.3339,,,67.47,0.7242,1.5798,-47.52,4.3905,,Neutral-High,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-10,45.9001,46.2133,45.7827,45.9686,44225000,0.0,2026-06-09 21:18:40,0.2775,46.8942,45.4318,,1.1786,64.11,0.4306,0.9367,-4.33,4.6801,,Neutral-High,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-11,45.6457,45.8121,45.264,45.7338,31653000,0.0,2026-06-09 21:18:40,-0.5108,46.6957,45.5082,,1.1875,59.36,0.5481,1.1985,-28.43,4.1454,,Neutral-High,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-14,45.8121,46.0665,45.5576,46.0665,36381200,0.0,2026-06-09 21:18:40,0.7275,46.4664,45.6172,,1.1714,56.3,0.5089,1.1047,14.94,4.9031,,Neutral-High,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-15,45.8806,46.0078,44.9704,45.1661,55145000,0.0,2026-06-09 21:18:40,-1.9546,46.0777,45.6886,,1.2633,46.18,1.0374,2.2969,51.58,2.8527,,Neutral-Low,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-16,45.264,45.5674,44.0504,45.0487,61296600,0.0,2026-06-09 21:18:40,-0.2599,45.71,45.779,,1.2293,43.79,1.517,3.3675,11.16,2.5853,,Neutral-Low,Sell,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-17,44.667,46.2133,44.4713,46.0176,56480700,0.0,2026-06-09 21:18:40,2.1508,45.6918,45.9006,,1.2965,46.85,1.742,3.7855,-7.86,4.7917,,Neutral-Low,Sell,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-18,46.0078,46.3699,45.9001,46.3112,48314200,0.0,2026-06-09 21:18:40,0.638,45.7589,46.0446,,1.2889,51.44,0.4698,1.0144,-14.46,5.4603,,Neutral-High,Sell,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-21,46.5265,47.0158,46.1937,46.4678,32199700,0.0,2026-06-09 21:18:40,0.3381,45.8302,46.1574,,1.2394,51.16,0.8221,1.7692,-33.35,5.8169,,Neutral-High,Sell,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-22,46.5852,47.1431,46.4482,46.7516,34749400,0.0,2026-06-09 21:18:40,0.6107,45.9756,46.2632,,1.2313,47.01,0.6949,1.4864,7.92,6.4632,,Neutral-Low,Sell,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-23,46.9865,47.2801,46.7907,47.1137,31380100,0.0,2026-06-09 21:18:40,0.7745,46.1252,46.3489,,1.1886,45.38,0.4894,1.0388,-9.7,7.2878,,Neutral-Low,Sell,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-24,47.4562,47.9554,47.1822,47.3584,42967600,0.0,2026-06-09 21:18:40,0.5194,46.4384,46.4296,,1.1836,45.64,0.7732,1.6327,36.93,7.845,,Neutral-Low,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-25,47.3584,47.515,46.918,47.4171,24461200,0.0,2026-06-09 21:18:40,0.1239,46.7768,46.5041,,1.1825,48.25,0.597,1.259,-43.07,7.9787,,Neutral-Low,Buy,2026-06-09 21:18:40,USA,NYSE
BAC,Bank of America,2025-07-28,47.4171,47.5052,47.055,47.2018,20590400,0.0,2026-06-09 21:18:40,-0.4541,46.9459,46.54,,1.1601,61.49,0.4502,0.9538,-15.82,7.4884,,Neutral-High,Buy,2026-06-09 21:18:40,USA,NYSE
